"ID","Name"
"2031631","IBM-NetBIOS.Session.Service"
"2031632","IBM-RTMP"
"2031640","IBM-NetBIOS.Name.Service"
"2031616","IBM-Other"
"2031748","IBM-IBM.Cloud"
"2097153","Citrix-Web"
"2097154","Citrix-ICMP"
"2097155","Citrix-DNS"
"2097156","Citrix-Outbound_Email"
"2097158","Citrix-SSH"
"2097159","Citrix-FTP"
"2097160","Citrix-NTP"
"2097161","Citrix-Inbound_Email"
"2097166","Citrix-LDAP"
"2097167","Citrix-NetBIOS.Session.Service"
"2097168","Citrix-RTMP"
"2097176","Citrix-NetBIOS.Name.Service"
"2097152","Citrix-Other"
"2162689","Twitter-Web"
"2162690","Twitter-ICMP"
"2162691","Twitter-DNS"
"2162692","Twitter-Outbound_Email"
"2162694","Twitter-SSH"
"2162695","Twitter-FTP"
"2162696","Twitter-NTP"
"2162697","Twitter-Inbound_Email"
"2162702","Twitter-LDAP"
"2162703","Twitter-NetBIOS.Session.Service"
"2162704","Twitter-RTMP"
"2162712","Twitter-NetBIOS.Name.Service"
"2162688","Twitter-Other"
"2228225","Dell-Web"
"2228226","Dell-ICMP"
"2228227","Dell-DNS"
"2228228","Dell-Outbound_Email"
"2228230","Dell-SSH"
"2228231","Dell-FTP"
"2228232","Dell-NTP"
"2228233","Dell-Inbound_Email"
"2228238","Dell-LDAP"
"2228239","Dell-NetBIOS.Session.Service"
"2228240","Dell-RTMP"
"2228248","Dell-NetBIOS.Name.Service"
"2228224","Dell-Other"
"2293761","Vimeo-Web"
"2293762","Vimeo-ICMP"
"2293763","Vimeo-DNS"
"2293764","Vimeo-Outbound_Email"
"2293766","Vimeo-SSH"
"2293767","Vimeo-FTP"
"2293768","Vimeo-NTP"
"2293769","Vimeo-Inbound_Email"
"2293774","Vimeo-LDAP"
"2293775","Vimeo-NetBIOS.Session.Service"
"2293776","Vimeo-RTMP"
"2293784","Vimeo-NetBIOS.Name.Service"
"2293760","Vimeo-Other"
"2359297","Redhat-Web"
"2359298","Redhat-ICMP"
"2359299","Redhat-DNS"
"2359300","Redhat-Outbound_Email"
"2359302","Redhat-SSH"
"2359303","Redhat-FTP"
"2359304","Redhat-NTP"
"2359305","Redhat-Inbound_Email"
"2359310","Redhat-LDAP"
"2359311","Redhat-NetBIOS.Session.Service"
"2359312","Redhat-RTMP"
"2359320","Redhat-NetBIOS.Name.Service"
"2359296","Redhat-Other"
"2424833","VK-Web"
"2424834","VK-ICMP"
"2424835","VK-DNS"
"2424836","VK-Outbound_Email"
"2424838","VK-SSH"
"2424839","VK-FTP"
"2424840","VK-NTP"
"2424841","VK-Inbound_Email"
"2424846","VK-LDAP"
"2424847","VK-NetBIOS.Session.Service"
"2424848","VK-RTMP"
"2424856","VK-NetBIOS.Name.Service"
"2424832","VK-Other"
"2490369","TrendMicro-Web"
"2490370","TrendMicro-ICMP"
"2490371","TrendMicro-DNS"
"2490372","TrendMicro-Outbound_Email"
"2490374","TrendMicro-SSH"
"2490375","TrendMicro-FTP"
"2490376","TrendMicro-NTP"
"2490377","TrendMicro-Inbound_Email"
"2490382","TrendMicro-LDAP"
"2490383","TrendMicro-NetBIOS.Session.Service"
"2490384","TrendMicro-RTMP"
"2490392","TrendMicro-NetBIOS.Name.Service"
"2490368","TrendMicro-Other"
"2555905","Tencent-Web"
"2555906","Tencent-ICMP"
"2555907","Tencent-DNS"
"2555908","Tencent-Outbound_Email"
"2555910","Tencent-SSH"
"2555911","Tencent-FTP"
"2555912","Tencent-NTP"
"2555913","Tencent-Inbound_Email"
"2555918","Tencent-LDAP"
"2555919","Tencent-NetBIOS.Session.Service"
"2555920","Tencent-RTMP"
"2555928","Tencent-NetBIOS.Name.Service"
"2555904","Tencent-Other"
"2556219","Tencent-VooV.Meeting"
"2621441","Ask-Web"
"2621442","Ask-ICMP"
"2621443","Ask-DNS"
"2621444","Ask-Outbound_Email"
"2621446","Ask-SSH"
"2621447","Ask-FTP"
"2621448","Ask-NTP"
"2621449","Ask-Inbound_Email"
"2621454","Ask-LDAP"
"2621455","Ask-NetBIOS.Session.Service"
"2621456","Ask-RTMP"
"2621464","Ask-NetBIOS.Name.Service"
"2621440","Ask-Other"
"2686977","CNN-Web"
"2686978","CNN-ICMP"
"2686979","CNN-DNS"
"2686980","CNN-Outbound_Email"
"2686982","CNN-SSH"
"2686983","CNN-FTP"
"2686984","CNN-NTP"
"2686985","CNN-Inbound_Email"
"2686990","CNN-LDAP"
"2686991","CNN-NetBIOS.Session.Service"
"2686992","CNN-RTMP"
"2687000","CNN-NetBIOS.Name.Service"
"2686976","CNN-Other"
"2752513","Myspace-Web"
"2752514","Myspace-ICMP"
"2752515","Myspace-DNS"
"2752516","Myspace-Outbound_Email"
"2752518","Myspace-SSH"
"2752519","Myspace-FTP"
"2752520","Myspace-NTP"
"2752521","Myspace-Inbound_Email"
"2752526","Myspace-LDAP"
"2752527","Myspace-NetBIOS.Session.Service"
"2752528","Myspace-RTMP"
"2752536","Myspace-NetBIOS.Name.Service"
"2752512","Myspace-Other"
"2818238","Tor-Relay.Node"
"2818243","Tor-Exit.Node"
"2883585","Baidu-Web"
"2883586","Baidu-ICMP"
"2883587","Baidu-DNS"
"2883588","Baidu-Outbound_Email"
"2883590","Baidu-SSH"
"2883591","Baidu-FTP"
"2883592","Baidu-NTP"
"2883593","Baidu-Inbound_Email"
"2883598","Baidu-LDAP"
"2883599","Baidu-NetBIOS.Session.Service"
"2883600","Baidu-RTMP"
"2883608","Baidu-NetBIOS.Name.Service"
"2883584","Baidu-Other"
"2949121","ntp.org-Web"
"2949122","ntp.org-ICMP"
"2949123","ntp.org-DNS"
"2949124","ntp.org-Outbound_Email"
"2949126","ntp.org-SSH"
"2949127","ntp.org-FTP"
"2949128","ntp.org-NTP"
"2949129","ntp.org-Inbound_Email"
"2949134","ntp.org-LDAP"
"2949135","ntp.org-NetBIOS.Session.Service"
"2949136","ntp.org-RTMP"
"2949144","ntp.org-NetBIOS.Name.Service"
"2949120","ntp.org-Other"
"3014850","Proxy-Proxy.Server"
"3080383","Botnet-C&C.Server"
"3145920","Spam-Spamming.Server"
"3211457","Phishing-Phishing.Server"
"3407873","Zendesk-Web"
"3407874","Zendesk-ICMP"
"3407875","Zendesk-DNS"
"3407876","Zendesk-Outbound_Email"
"3407878","Zendesk-SSH"
"3407879","Zendesk-FTP"
"3407880","Zendesk-NTP"
"3407881","Zendesk-Inbound_Email"
"3407886","Zendesk-LDAP"
"3407887","Zendesk-NetBIOS.Session.Service"
"3407888","Zendesk-RTMP"
"3407896","Zendesk-NetBIOS.Name.Service"
"3407872","Zendesk-Other"
"3408047","Zendesk-Zendesk.Suite"
"3473409","DocuSign-Web"
"3473410","DocuSign-ICMP"
"3473411","DocuSign-DNS"
"3473412","DocuSign-Outbound_Email"
"3473414","DocuSign-SSH"
"3473415","DocuSign-FTP"
"3473416","DocuSign-NTP"
"3473417","DocuSign-Inbound_Email"
"3473422","DocuSign-LDAP"
"3473423","DocuSign-NetBIOS.Session.Service"
"3473424","DocuSign-RTMP"
"3473432","DocuSign-NetBIOS.Name.Service"
"3473408","DocuSign-Other"
"3538945","ServiceNow-Web"
"3538946","ServiceNow-ICMP"
"3538947","ServiceNow-DNS"
"3538948","ServiceNow-Outbound_Email"
"3538950","ServiceNow-SSH"
"3538951","ServiceNow-FTP"
"3538952","ServiceNow-NTP"
"3538953","ServiceNow-Inbound_Email"
"3538958","ServiceNow-LDAP"
"3538959","ServiceNow-NetBIOS.Session.Service"
"3538960","ServiceNow-RTMP"
"3538968","ServiceNow-NetBIOS.Name.Service"
"3538944","ServiceNow-Other"
"3604638","GitHub-GitHub"
"3670017","Workday-Web"
"3670018","Workday-ICMP"
"3670019","Workday-DNS"
"3670020","Workday-Outbound_Email"
"3670022","Workday-SSH"
"3670023","Workday-FTP"
"3670024","Workday-NTP"
"3670025","Workday-Inbound_Email"
"3670030","Workday-LDAP"
"3670031","Workday-NetBIOS.Session.Service"
"3670032","Workday-RTMP"
"3670040","Workday-NetBIOS.Name.Service"
"3670016","Workday-Other"
"3735553","HubSpot-Web"
"3735554","HubSpot-ICMP"
"3735555","HubSpot-DNS"
"3735556","HubSpot-Outbound_Email"
"3735558","HubSpot-SSH"
"3735559","HubSpot-FTP"
"3735560","HubSpot-NTP"
"3735561","HubSpot-Inbound_Email"
"3735566","HubSpot-LDAP"
"3735567","HubSpot-NetBIOS.Session.Service"
"3735568","HubSpot-RTMP"
"3735576","HubSpot-NetBIOS.Name.Service"
"3735552","HubSpot-Other"
"3801089","Twilio-Web"
"3801090","Twilio-ICMP"
"3801091","Twilio-DNS"
"3801092","Twilio-Outbound_Email"
"3801094","Twilio-SSH"
"3801095","Twilio-FTP"
"3801096","Twilio-NTP"
"3801097","Twilio-Inbound_Email"
"3801102","Twilio-LDAP"
"3801103","Twilio-NetBIOS.Session.Service"
"3801104","Twilio-RTMP"
"3801112","Twilio-NetBIOS.Name.Service"
"3801088","Twilio-Other"
"3801277","Twilio-Elastic.SIP.Trunking"
"3866625","Coupa-Web"
"3866626","Coupa-ICMP"
"3866627","Coupa-DNS"
"3866628","Coupa-Outbound_Email"
"3866630","Coupa-SSH"
"3866631","Coupa-FTP"
"3866632","Coupa-NTP"
"3866633","Coupa-Inbound_Email"
"3866638","Coupa-LDAP"
"3866639","Coupa-NetBIOS.Session.Service"
"3866640","Coupa-RTMP"
"3866648","Coupa-NetBIOS.Name.Service"
"3866624","Coupa-Other"
"3932161","Atlassian-Web"
"3932162","Atlassian-ICMP"
"3932163","Atlassian-DNS"
"3932164","Atlassian-Outbound_Email"
"3932166","Atlassian-SSH"
"3932167","Atlassian-FTP"
"3932168","Atlassian-NTP"
"3932169","Atlassian-Inbound_Email"
"3932174","Atlassian-LDAP"
"3932175","Atlassian-NetBIOS.Session.Service"
"3932176","Atlassian-RTMP"
"3932184","Atlassian-NetBIOS.Name.Service"
"3932160","Atlassian-Other"
"3932388","Atlassian-Atlassian.Cloud"
"3932436","Atlassian-Atlassian.Notification"
"3997697","Xero-Web"
"3997698","Xero-ICMP"
"3997699","Xero-DNS"
"3997700","Xero-Outbound_Email"
"3997702","Xero-SSH"
"3997703","Xero-FTP"
"3997704","Xero-NTP"
"3997705","Xero-Inbound_Email"
"3997710","Xero-LDAP"
"3997711","Xero-NetBIOS.Session.Service"
"3997712","Xero-RTMP"
"3997720","Xero-NetBIOS.Name.Service"
"3997696","Xero-Other"
"4063233","Zuora-Web"
"4063234","Zuora-ICMP"
"4063235","Zuora-DNS"
"4063236","Zuora-Outbound_Email"
"4063238","Zuora-SSH"
"4063239","Zuora-FTP"
"4063240","Zuora-NTP"
"4063241","Zuora-Inbound_Email"
"4063246","Zuora-LDAP"
"4063247","Zuora-NetBIOS.Session.Service"
"4063248","Zuora-RTMP"
"4063256","Zuora-NetBIOS.Name.Service"
"4063232","Zuora-Other"
